name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,baseRaidDanger,icon,sound id,sound id drop,plugin,plugin params,desc,order
Especificação Base de Modificação,modspec,modspec,,,1,1000,1,,graphics/icons/cargo/modspec2.png,ui_chip_pickup,ui_modspec_drop,com.fs.starfarer.api.campaign.impl.items.ModSpecItemPlugin,,"Uma coleção de anotações, diretrizes e exemplos práticos que permitem adaptar e aplicar esta modificação a diversos cascos.",50
,,,,,,,,,,,,,,,
# industry-slotted items,,,,,,,,,,,,,,,
Autoforja Corrompida,corrupted_nanoforge,"nanoforge, pather4, colony_item, codex_unlockable",Domain Restricted,,50000,1000,1,HIGH,graphics/icons/cargo/nanoforge_corrupted.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"heavyindustry, orbitalworks","Uma poderosa e versátil ""caixa preta"" de manufatura, capaz de se expandir para uma escala industrial, desde que haja matérias-primas e assistência humana necessárias.

Esta aqui já teve dias melhores e não consegue produzir componentes sem defeitos de forma confiável. Ainda assim, ter acesso a uma autoforja já é um grande avanço quando se trata de construção de naves estelares.",139
Autoforja Imaculada,pristine_nanoforge,"nanoforge, hist3t, pather4, colony_item, codex_unlockable",Domain Restricted,,250000,1000,1,EXTREME,graphics/icons/cargo/nanoforge_pristine.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"heavyindustry, orbitalworks","Uma poderosa e versátil ""caixa preta"" de manufatura, capaz de se expandir para uma escala industrial, desde que haja matérias-primas e assistência humana necessárias.

Segundo seus diagnósticos internos, ela está como nova. Na prática, obter componentes de naves estelares sem defeitos ainda é um desafio dado o estado geral da manufatura no Setor, mas esta autoforja é o melhor que existe.",139.1
Núcleo Sincrotron,synchrotron,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Domain Restricted,,250000,1000,1,EXTREME,graphics/icons/cargo/synchrotron_core.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,fuelprod,"Uma autoforja especializada, carregada com firmware e nano-tecnologia inicial para se expandir em um Sincrotron, permitindo a produção industrial de antimatéria em larga escala.",139.2
Lâmpada de Fusão Orbital,orbital_fusion_lamp,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Fabrique Orbitale,,150000,1000,1,EXTREME,graphics/icons/cargo/fusion_lamp.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,population,"Um reator de fusão miniaturizado e de saída variável, capaz de fornecer luz e calor abundantes a um planeta.

Para operar com segurança, requer quantidades prodigiosas de voláteis. Se a demanda não for atendida, o reator sofre com instabilidade potencialmente perigosa, que pode levar a um aumento descontrolado na saída. Processos judiciais sobre se este dispositivo é inerentemente inseguro ou simplesmente usado de forma inadequada estavam em andamento nos tribunais do Domínio na época do Colapso.",135
Derivação de Hiperdesvio,coronal_portal,"hist3t, pather8, planet_search, colony_item, codex_unlockable",Domain Restricted,,300000,1000,1,EXTREME,graphics/icons/cargo/hypershunt_tap.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,population,"Uma interface miniaturizada de buraco de minhoca que pode ser ativada para se conectar a um hiperdesvio coronal próximo, fornecendo energia virtualmente ilimitada a uma colônia.

A operação requer quantidades industriais de transplutônicos, que são inicialmente usados para abrir o buraco de minhoca e, depois — uma vez que a energia extraída se torna autossustentável — são consumidos em um processo ablativo complexo que mantém a estabilidade do wormhole. Qualquer interrupção no fornecimento exige uma desativação completa da derivação.",137
Perfuratriz Autônoma de Manto,mantle_bore,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Eridani-Utopia Terraforming,,80000,1000,1,EXTREME,graphics/icons/cargo/terraforming_bore.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,mining,"Embora se acredite que não restem mais unidades funcionais de controle remoto no Setor, a perfuratriz é capaz de operação independente — ainda que, às vezes, imprevisível. Os sistemas de segurança em modo automático impedem seu uso em mundos habitáveis.",140
Núcleo Catalítico,catalytic_core,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Ko Combine,,100000,1000,1,EXTREME,graphics/icons/cargo/catalytic_core.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,refining,Melhora drasticamente a eficiência das operações de refino por meio de uma peculiaridade surpreendente da física de osmose. A operação requer acesso ao vácuo em uma escala difícil de ser alcançada em planetas com pressão atmosférica significativa.,145
Nanitos do Solo,soil_nanites,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Eridani-Utopia Terraforming,,60000,1000,1,EXTREME,graphics/icons/cargo/soil_nanites.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,farming,"Permite o enriquecimento e a recuperação do solo em um ritmo muito além do que os processos naturais não assistidos conseguem. O Regulamento de Segurança de Nanitos do Domínio 4324, subseção 81, proíbe o uso em mundos com depósitos de minério transplutônico ou voláteis, e, infelizmente, o sistema de segurança integrado parece estar funcional.",150
Embrião de Biofábrica,biofactory_embryo,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Exodyne Biotech,,120000,1000,1,EXTREME,graphics/icons/cargo/biofactory_embryo.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,lightindustry,"Uma grande variedade de bens de consumo pode ser cultivada em vez de fabricada. A biofábrica totalmente extrudada só prospera no delicado equilíbrio de luz solar, nutrientes do solo e condições atmosféricas que um mundo habitável pode fornecer. Tentativas de replicar essas condições em ambientes artificiais sempre falham, fazendo com que a fábrica adoeça, provavelmente devido a um sistema de segurança geneticamente codificado.",155
Bobina de Fulereno,fullerene_spool,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Fabrique Orbitale,,150000,1000,1,EXTREME,graphics/icons/cargo/fullerene_spool.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"spaceport, megaport","Um cabo de nanomalha de carbono ultra-resistente, essencial para a construção de um elevador espacial. Melhora consideravelmente a eficiência da logística entre a superfície de um planeta e a órbita baixa.",160
Dínamo de Plasma,plasma_dynamo,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Fabrique Orbitale,,100000,1000,1,EXTREME,graphics/icons/cargo/plasma_dynamo.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,mining,"Peça central supercondutora de um sistema industrial que cria uma rede planetária de plasma, permitindo a extração eficiente e espetacular de voláteis da atmosfera de um gigante gasoso adequado.",165
Motor Criotermodinâmico,cryoarithmetic_engine,"hist3t, pather4, planet_search, colony_item, codex_unlockable",Domain Restricted,,200000,1000,1,EXTREME,graphics/icons/cargo/cryoarithmetic_engine.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"patrolhq, militarybase, highcommand","Um computador quântico que viola a segunda lei da termodinâmica ao esfriar em vez de esquentar durante cálculos.

Uma vasta rede planetária de filamentos — terminados em dissipadores de calor — se expande, usando calor para impulsionar seu crescimento e continuidade computacional. Quanto mais quente a superfície do planeta, mais eficaz o motor de processamento. A capacidade de processamento inigualável é uma grande vantagem para o planejamento logístico e estratégico.",170
Replicador de Drones de Combate,drone_replicator,"hist3t, pather4, colony_item, codex_unlockable",Ko Combine,,60000,1000,1,EXTREME,graphics/icons/cargo/combat_drone_replicator.png,ui_cargo_special_military_pickup,ui_cargo_special_military_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"grounddefenses, heavybatteries","Produz em massa diversas variantes de drones, todas adequadas para tarefas relacionadas à defesa planetária contra invasões e ataques, além de ações de segurança local.

Seu uso foi proibido pelo Domínio muitos ciclos antes do Colapso, então é surpreendente encontrar um exemplar funcional no Setor Perseano.",175
Holossuíte Negociadora,dealmaker_holosuite,"hist3t, pather4, colony_item, codex_unlockable",Mbaye-Gogol,,120000,1000,1,EXTREME,graphics/icons/cargo/holosuite.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,commerce,"Gera um ambiente interativo projetado para estimular negociações com parceiros comerciais em potencial. Além disso, os sistemas de microemocão auto-adaptativos integrados a essas suítes de RV de alta gama permitem rastrear em tempo real a veracidade das expressões, oferecendo uma vantagem ética técnica nas transações ao operador da instalação.

Os materiais de marketing integrados enfatizam que isso não é uma IA, mas apenas uma sofisticada rede ponderada em total conformidade com as regulamentações relevantes do Domínio.",180
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# blueprints,,,,,,,,,,,,,,,
Pacote de Plantas de Baixa Tecnologia,low_tech_package,"package_bp, codex_unlockable",,,20000,1000,1,,graphics/icons/cargo/blueprint_lowtech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,lowtech_bp,"Permite que a indústria pesada construa os cascos de naves, armas e LPCs de caças mais comuns da escola de projeto de ""baixa tecnologia"".",200
Pacote de Plantas de Tecnologia Média,midline_package,"package_bp, codex_unlockable",,,25000,1000,1,,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,midline_bp,"Permite que a indústria pesada construa os cascos de naves, armas e LPCs de caças mais comuns da escola de projeto de ""tecnologia média"".",210
Pacote de Plantas de Alta Tecnologia,high_tech_package,"package_bp, codex_unlockable",,,30000,1000,1,,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,hightech_bp,"Permite que a indústria pesada construa os cascos de naves, armas e LPCs de caças mais comuns da escola de projeto de ""alta tecnologia"".",220
Pacote de Plantas de Mísseis,missile_package,"package_bp, codex_unlockable",,,20000,1000,1,,graphics/icons/cargo/blueprint_missile.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,missile_bp,Permite que a indústria pesada construa uma variedade dos mísseis mais comuns.,230
Pacote de Plantas Pirata,pirate_package,"package_bp, codex_unlockable",,,15000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,pirate_bp,"Uma coleção de hacks, especificações de modificações pós-venda e tentativas parcialmente bem-sucedidas de recuperação de plantas corrompidas. Permite que a indústria pesada construa cascos de baixa qualidade, mas capazes em combate, comumente usados por piratas e outros indesejáveis.",240
Pacote de Plantas do Caminho Luddico,LP_package,"package_bp, codex_unlockable",,,18000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,LP_bp,Uma coleção de hacks e especificações de modificações pós-venda que permite à indústria pesada construir os cascos comumente usados por membros do Caminho Luddico.,250
Pacote de Plantas da Igreja Luddica,LC_package,"package_bp, codex_unlockable",,,15000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,LC_bp,"Uma coleção de hacks e especificações de modificações pós-venda que permite à indústria pesada construir cascos com marcações da Igreja Luddica. Como as modificações são de natureza cosmética, os cascos produzidos são, de outra forma, impecáveis.",260
Pacote de Plantas da 14ª Flotilha,XIV_package,"package_bp, no_drop, hide_in_codex",,,1000000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,XIV_bp,"Um conjunto de plantas que permitem à indústria pesada produzir os cascos quase lendários empregados pela XIVª Flotilha de Batalha, fundadora da Hegemonia. A existência contínua — e localização — dessas plantas é alvo de inúmeros rumores.",270
Plantas Auxiliares da Hegemonia,heg_aux_package,"package_bp, codex_unlockable",,,20000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,heg_aux_bp,"Coleção de plantas modificadas que elevam diversas embarcações civis ao padrão militar ou simplesmente adicionam marcações da Hegemonia. Criadas logo após o Colapso, algumas dessas plantas melhoram o desempenho do casco sem o aumento de d-mods associado a tentativas posteriores de hackeamento de plantas.",280
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Planta Base de Nave,ship_bp,single_bp,,,10000,1000,1,,graphics/icons/cargo/blueprint_shiphull.png,ui_chip_pickup,ui_ship_bp_drop,com.fs.starfarer.api.campaign.impl.items.ShipBlueprintItemPlugin,,Permite que a indústria pesada construa cascos de naves descritos por esta planta.,300
Planta Base de Arma,weapon_bp,single_bp,,,2000,1000,1,,graphics/icons/cargo/blueprint_weapons.png,ui_chip_pickup,ui_weapon_bp_drop,com.fs.starfarer.api.campaign.impl.items.WeaponBlueprintItemPlugin,,Permite que a indústria pesada construa armas de naves descritas por esta planta.,310
Planta Base de Caça,fighter_bp,single_bp,,,3000,1000,1,,graphics/icons/cargo/blueprint_fighter.png,ui_chip_pickup,ui_fighter_bp_drop,com.fs.starfarer.api.campaign.impl.items.FighterBlueprintItemPlugin,,Permite que a indústria pesada construa PCs de caças descritos por esta planta.,320
,,,,,,,,,,,,,,,
Planta Base de Indústria,industry_bp,,,,20000,1000,1,,graphics/icons/cargo/blueprint_industry.png,ui_chip_pickup,ui_industry_bp_drop,com.fs.starfarer.api.campaign.impl.items.IndustryBlueprintItemPlugin,,Contém as especificações tecnológicas necessárias para construir uma indústria ou estrutura planetária.,400
,,,,,,,,,,,,,,,
# other items,,,,,,,,,,,,,,,
Dispositivo Janus,janus,"mission_item, codex_unlockable",,,100000,1000,1,,graphics/icons/cargo/janus_device.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.JanusDevicePlugin,,"Esta é a primeira geração do Dispositivo Janus criado por Elissa Zal com base nas teorias desenvolvidas por Scylla Coureuse, entre outros.

Quando integrado a um hiperpropulsor, esse dispositivo permite transmitir um pulso de hiperonda sintonizado nas assinaturas ressonantes únicas de dois Portais para dentro de uma abertura de Portal. Após um enorme gasto energético, que requer uma grande quantidade de combustível para ser gerado, um elo temporário entre aqueles Portais é criado. Uma única nave ou frota pode então transitar pela rede de Portais.",0
Destruidor de Planetas,planetkiller,"mission_item, codex_unlockable",Domain Restricted,,1000000,1000,1,,graphics/icons/cargo/planetkiller.png,ui_cargo_special_military_pickup,ui_cargo_special_military_drop,com.fs.starfarer.api.campaign.impl.items.BaseSpecialItemPlugin,,"Um projétil especializado capaz de destruir um mundo. Seus princípios de funcionamento são pouco compreendidos e acredita-se envolverem a utilização do movimento de rotação do planeta e alguma forma de ressonância.

Esta unidade está inoperante e requer códigos de autorização, possivelmente perdidos há muito tempo, para se tornar algo além de uma peça de maquinário complicada, mas completamente inerte.",10
Dados Topográficos,topographic_data,codex_unlockable,,,50000,1000,1,,graphics/icons/cargo/hyperspace_data.png,ui_chip_pickup,ui_modspec_drop,com.fs.starfarer.api.campaign.impl.items.BaseSpecialItemPlugin,,"Este TriPad seguro contém um banco de dados recente com varreduras e análises detalhadas da topografia do hiperespaço no Setor Perseano, organizadas segundo as diretrizes tradicionais estabelecidas pelo Explorarium do Domínio. Dados como este são elementos essenciais para expedições bem-sucedidas fora dos mundos centrais.",500
Âncora de Buraco de Minhoca,wormhole_anchor,codex_unlockable,Domain Restricted,,150000,1000,1,,graphics/icons/cargo/wormhole_anchor.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.WormholeAnchorPlugin,,"Desconhecida no Setor Perseano contemporâneo, essa tecnologia foi utilizada pelo Explorarium do Domínio durante uma era de grandeza há muito passada. Pode ser usada para criar um término de buraco de minhoca em uma localização estável.

A ativação inicial requer antimatéria na forma de combustível de nave estelar. Requer pelo menos um outro término ativo e sincronizado para ser usado.",1
Varredor de Buraco de Minhoca,wormhole_scanner,"mission_item, codex_unlockable",Domain Restricted,,100000,1000,1,,graphics/icons/cargo/wormhole_scanner.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.WormholeScannerPlugin,,"Um artefato da era do Domínio que permite a uma frota navegar por um buraco de minhoca natural, seguindo suas muitas curvas, voltas e mudanças através de dimensões superiores. Uma frota que entrar em um buraco de minhoca sem um varredor nunca mais será vista novamente, ao menos não como uma coleção coerente de matéria bariônica.

Os princípios de funcionamento só podem ser adivinhados vagamente diante do estado atual da arte no Setor Perseano.",2
Fabricador de Fragmentos,fragment_fabricator,"threat, codex_unlockable",Threat,,20000,1000,1,,graphics/icons/cargo/fragment_fabricator.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.BaseSpecialItemPlugin,,"Tecnologia desconhecida que, no entanto, compartilha princípios de projeto com os antigos padrões de engenharia do Domínio. Vários adaptadores auto-modificáveis aceitam entrada de energia e estoque de forja. Não há interface de comando. Tentativas de interferir no funcionamento provocam mecanismos agressivos de auto-reparo canibalizador; uma tentativa significativa de desmontagem poderia resultar em autodestruição.

Esta é claramente um fabricador, pois, quando os insumos são fornecidos, ele produz unidades de Fragmento, cada uma formada por um arranjo único de componentes fractais, mas funcionalmente semelhante, com pequenas variações de escala. Simples em nível individual, os fragmentos exibem comportamento emergente sofisticado em grupo.",400
Unidade de Processamento de Ameaças,threat_processing_unit,"threat, codex_unlockable",Threat,,15000,1000,1,,graphics/icons/cargo/threat_processing_unit.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.BaseSpecialItemPlugin,,"Uma unidade computacional modular básica. Parecem ser empregadas em grande número para suportar as diversas funções das naves de Ameaças. Não totalmente compreendidas, mas claramente abaixo do limiar para serem consideradas uma inteligência artificial de qualquer nível.",401
Substrato Encoberto,shrouded_substrate,"monster, codex_unlockable",Shrouded Dweller,,5000,1000,1,,graphics/icons/cargo/shrouded_substrate.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,com.fs.starfarer.api.campaign.impl.items.ShroudedSubstratePlugin,,"Matéria exótica anômala mantida em estase semiestável usando unidades de contenção improvisadas. Recomenda-se empregar protocolos de manuseio de materiais perigosos das classes 6, 7, 9 e 13. Investigações superficiais sugerem aplicações em projeção de energia.",450
Turbilhão Encoberto,shrouded_thunderhead,"monster, codex_unlockable",Shrouded Dweller,,30000,1000,1,,graphics/icons/cargo/shrouded_thunderhead.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,com.fs.starfarer.api.campaign.impl.items.ShroudedHullmodItemPlugin,shrouded_thunderhead,"""Esta ação autossustentável produz diferenciais energéticos massivos que são periodicamente descarregados em sua... alvo. Eu jamais diria que uma tempestade poderia ser maligna, mas agora...""

- Registro de áudio interceptado, falante desconhecido",451
Manto Encoberto,shrouded_mantle,"monster, codex_unlockable",Shrouded Dweller,,50000,1000,1,,graphics/icons/cargo/shrouded_mantle.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,com.fs.starfarer.api.campaign.impl.items.ShroudedHullmodItemPlugin,shrouded_mantle,"""Não podemos armazenar energia para sempre neste plasma teórico e fictício. Terá que ir para algum lugar.""

""-Inverta a polaridade dos conversores de fluxo e pisque o campo de propulsão. Pronto, um leve abalo no espaço-tempo local. Quero dizer, na própria nave.""

""Se funcionar.""",452
Lente Encoberta,shrouded_lens,"monster, codex_unlockable",Shrouded Dweller,,30000,1000,1,,graphics/icons/cargo/shrouded_lens.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,com.fs.starfarer.api.campaign.impl.items.ShroudedHullmodItemPlugin,shrouded_lens,"""Gire durante manobras de combate, ajustando a frequência das 'sondas' adaptadas dos estabilizadores do campo de propulsão. Isso criaria fraturas no hiperespaço que causariam danos terríveis às estruturas do espaço normal. Naves estelares, por exemplo.""",453
